10976;0
10977;5
11892;1
18274;10
18275;9
18836;10
18837;1
29086;0
29829;1
31969;0
32726;1
32727;10
33971;1
33972;6
33973;9
33974;7
33975;4
34616;0
35285;4
35286;7
35287;9
35290;11
35291;10
38136;2
38137;11
38138;7
38740;11
38742;2
38743;10
38747;6
38749;2
38750;3
38751;7
38752;4
38785;7
38808;4
38810;7
41471;0
42136;7
42523;5
44802;4
44803;0
45444;7
46774;4
46775;7
47316;4
47321;7
47322;4
47323;5
47547;4
47548;7
54583;4
54587;7
54588;4
54591;0
54594;2
54596;11
55685;7
55686;4
55687;11
55688;2
55689;11
55691;10
55692;2
81104;0
